datetime,front_type,x,y
2020-02-01 06:00,sfc_cold_front,-49.26108374,-564.6477132
2020-02-01 06:00,sfc_cold_front,-106.4039409,-584.4252163
2020-02-01 06:00,sfc_cold_front,-155.6650246,-602.2249691
2020-02-01 06:00,sfc_cold_front,-195.0738916,-612.1137206
2020-02-01 06:00,sfc_cold_front,-244.3349754,-618.0469716
2020-02-01 06:00,sfc_cold_front,-291.6256158,-620.0247219
2020-02-01 06:00,sfc_cold_front,-338.9162562,-616.0692213
2020-02-01 06:00,sfc_cold_front,-396.0591133,-608.15822
2020-02-01 06:00,sfc_cold_front,-453.2019704,-594.3139679
2020-02-01 06:00,sfc_cold_front,-514.2857143,-578.4919654
2020-02-01 06:00,sfc_cold_front,-567.4876847,-562.6699629
2020-02-01 06:00,sfc_cold_front,-650.2463054,-533.0037083
2020-02-01 06:00,sfc_cold_front,-717.2413793,-509.2707046
2020-02-01 06:00,sfc_cold_front,-798.0295567,-479.6044499
2020-02-01 12:00,sfc_cold_front,102.4523161,-70.94133697
2020-02-01 12:00,sfc_cold_front,139.5095368,-88.40381992
2020-02-01 12:00,sfc_cold_front,176.5667575,-116.7803547
2020-02-01 12:00,sfc_cold_front,220.1634877,-156.0709413
2020-02-01 12:00,sfc_cold_front,241.9618529,-188.8130969
2020-02-01 12:00,sfc_cold_front,255.0408719,-219.372442
2020-02-01 12:00,sfc_cold_front,261.5803815,-254.2974079
2020-02-01 12:00,sfc_cold_front,268.119891,-295.7708049
2020-02-01 12:00,sfc_cold_front,259.400545,-339.4270123
2020-02-01 12:00,sfc_cold_front,246.3215259,-380.9004093
2020-02-01 12:00,sfc_cold_front,228.8828338,-422.3738063
2020-02-01 12:00,sfc_cold_front,213.6239782,-455.1159618
2020-02-01 12:00,sfc_cold_front,198.3651226,-494.4065484
2020-02-01 12:00,sfc_cold_front,183.106267,-527.148704
2020-02-01 12:00,sfc_cold_front,170.027248,-557.7080491
2020-02-01 12:00,sfc_cold_front,156.9482289,-590.4502046
