datetime,divergence,vorticity,pure_shear,normal_shear,maximum_shear_strain_rate,total_deformation,area,uncertainty_area,uncertainty_divergence,uncertainty_vorticity,uncertainty_shear,uncertainty_total,shape_flag
2020-01-25 00:00:00,,,,,,,,,,,,,
2020-01-25 01:00:00,,,,,,,777596108.4369516,396649.4272637442,,,,,1.0
2020-01-25 02:00:00,-5.44126716134675e-08,-9.822307743972592e-08,-8.572269758540396e-08,2.3685921280587812e-08,8.893482865688123e-08,1.0425997592721703e-07,777244628.4475183,396555.96488678886,1.2160535224609636e-09,1.1801565544176086e-09,1.1827386660404614e-09,1.1820359261849488e-09,1.0
2020-01-25 03:00:00,-1.4855018207888251e-08,-4.793546615292299e-08,-9.960102367171187e-08,6.947931952855274e-08,1.214402723918373e-07,1.223454589453991e-07,777291542.1201849,396554.0335813129,1.121215890733739e-09,1.0908374115086591e-09,1.1008734887777116e-09,1.1007261966358765e-09,1.0
2020-01-25 04:00:00,-3.122319993392302e-08,-1.700159958713625e-08,-1.200775031680232e-07,3.198830396721726e-08,1.2426527414272142e-07,1.2812785244387514e-07,777161482.0692611,396508.6556623901,1.094758841907465e-09,1.063193047653838e-09,1.0653136845600742e-09,1.0651878710688374e-09,1.0
2020-01-25 05:00:00,-6.018515010816846e-08,-8.871393935337248e-08,-1.5650632539351473e-07,1.7046883267021988e-08,1.5743197298293693e-07,1.6854399547549284e-07,777116816.2548687,396484.94535532553,1.016360352116665e-09,9.89722351054106e-10,9.900388277672275e-10,9.899984787169996e-10,1.0
2020-01-25 06:00:00,-1.0322767335241647e-07,-7.861712629580633e-08,-1.8646631742367758e-07,2.8005951165209356e-09,1.8648734773853794e-07,2.1315131576489874e-07,776824773.3671222,396394.1746710129,1.024556907123476e-09,9.993181495921756e-10,9.993239135202886e-10,9.993225616536859e-10,1.0
2020-01-25 07:00:00,-6.667254973777541e-08,-1.0632319356802398e-07,-1.216120647759047e-07,-1.9409863972288003e-08,1.2315127737251272e-07,1.400409440378695e-07,776539381.0676712,396306.03906328836,1.0976445646182898e-09,1.0650895548564753e-09,1.065910293126991e-09,1.0657243160535762e-09,1.0
2020-01-25 08:00:00,-9.513445205547695e-08,-1.709439523483521e-07,-1.2049112481042984e-07,-6.225411509032373e-08,1.3562332396664615e-07,1.6566306157878918e-07,776452166.0548193,396281.37763845065,1.0627357716957097e-09,1.0315879282801666e-09,1.0382285281812618e-09,1.0360432951423937e-09,1.0
2020-01-25 09:00:00,-1.0130230373035484e-07,-1.8656666450394062e-07,-1.8963709435334246e-07,-2.8008076370516477e-08,1.9169423542912082e-07,2.1681521311437595e-07,776007437.4491931,396158.51683922374,9.341400934091763e-10,9.146452592294704e-10,9.150657650292631e-10,9.149739839601619e-10,1.0
2020-01-25 10:00:00,-2.527396190091992e-08,-1.422869037516322e-07,-1.2633562907614567e-07,3.1266709519465515e-08,1.301472177890872e-07,1.3257854822108006e-07,775886214.0586524,396109.2812771682,9.664871749802636e-10,9.509136664457652e-10,9.518194325964458e-10,9.517865309949497e-10,1.0
2020-01-25 11:00:00,-4.500288650872728e-08,-2.3870514144168205e-07,-2.1550653934122902e-07,-4.439402471290175e-08,2.2003158393522148e-07,2.2458663745459078e-07,775866197.5767831,396097.5243105798,1.140087693589705e-09,1.126507110164547e-09,1.127063142699314e-09,1.127040821872504e-09,1.0
2020-01-25 12:00:00,-5.1362677023747245e-08,-3.1649494014486283e-07,-2.5575577151578543e-07,-3.549094401458242e-08,2.5820654865955836e-07,2.6326554343804026e-07,775634925.758515,396015.77199433785,1.307786607815142e-09,1.3167862680641644e-09,1.3166168077492238e-09,1.3166232583795182e-09,1.0
2020-01-25 13:00:00,-7.021776606533817e-08,-1.994006425205386e-07,-1.2651237394820036e-07,-5.035762353193035e-09,1.2661255729384476e-07,1.4478008956929705e-07,775579309.3060479,395987.30353818217,1.453684353933474e-09,1.4864511401547883e-09,1.4863998770460326e-09,1.4864119353715092e-09,1.0
2020-01-25 14:00:00,-1.0792816965704698e-07,-2.0343231261353784e-07,-1.9904800081466162e-07,-9.531094771214849e-08,2.2069046962227763e-07,2.456680141728299e-07,775242855.7931875,395895.85634516465,1.4607513441197213e-09,1.5079321072864589e-09,1.4992447376109319e-09,1.5009253740840981e-09,1.0
2020-01-25 15:00:00,-2.368629196767417e-08,-1.271518449001444e-07,-1.4254667208381488e-07,-3.90748411884555e-08,1.478052669429397e-07,1.49691139895625e-07,774976664.3112466,395814.0137504196,1.5285948231474631e-09,1.5928889122335948e-09,1.588479987186375e-09,1.5885905277967553e-09,1.0
2020-01-25 16:00:00,1.5480353681951907e-08,-2.905313874572441e-08,-2.900868685237301e-09,2.4120689938665655e-08,2.4294499835276235e-08,2.8807361426631196e-08,775110812.6484625,395844.41281026363,1.5640474098789279e-09,1.6388919387232234e-09,1.5651396483345462e-09,1.5867892882967462e-09,1.0
2020-01-25 17:00:00,-1.152034877789947e-08,-8.205356173784966e-09,-1.5484110155345796e-08,-7.093260508095052e-09,1.7031500578004973e-08,2.056186878430639e-08,775063059.9390324,395832.41662803164,1.5967613318892186e-09,1.6731464723001072e-09,1.6601490700312959e-09,1.6642400242692575e-09,1.0
2020-01-25 18:00:00,2.4158293321485136e-08,-7.20536199363191e-08,1.9047063465409865e-09,2.3109477977077785e-08,2.3187839024790488e-08,3.3485803183536005e-08,775046522.4905713,395826.45882730867,1.8020714955202551e-09,1.8744699656757278e-09,1.802569739792731e-09,1.8403435504919503e-09,1.0
2020-01-25 19:00:00,-4.762402628310608e-09,-1.494087923343799e-07,-6.31257997068258e-08,-6.310302594267172e-09,6.344041698678771e-08,6.361892003367899e-08,775197930.038099,395864.10547686584,2.033194875477837e-09,2.0973323020615993e-09,2.096707341235051e-09,2.096710843885403e-09,1.0
2020-01-25 20:00:00,-7.208280234278282e-08,-3.6230037581116046e-07,-2.8448998533722475e-07,-2.5502507921580468e-08,2.856307575655406e-07,2.945859128693246e-07,775019886.9693453,395810.4143523802,2.0240184876917086e-09,2.0854474049715867e-09,2.0849648630044734e-09,2.0849937579386085e-09,1.0
2020-01-25 21:00:00,3.303065023639185e-09,-7.322605854913431e-07,-6.297528041902012e-07,-1.713780083305438e-08,6.299859511154319e-07,6.299946101685043e-07,774796097.166156,395719.71748547687,1.9499323212014783e-09,2.012045266162544e-09,2.0120000097910913e-09,2.0120000110351623e-09,1.0
2020-01-25 22:00:00,1.0045574347138193e-07,-8.582167689337088e-07,-7.761673804501601e-07,9.371990280847383e-08,7.818051052898628e-07,7.882325666030817e-07,775038143.8233286,395718.82235810923,2.0262531491731187e-09,2.1059631558936067e-09,2.104839074644596e-09,2.1048573368223855e-09,1.0
2020-01-25 23:00:00,2.030581545908949e-08,-6.64010021873685e-07,-6.176493743237868e-07,2.0991407770386778e-07,6.523455139884315e-07,6.526614710263579e-07,775356780.0022279,395731.18890636764,2.357168745993252e-09,2.4738016966839185e-09,2.461981428112771e-09,2.4619928972976222e-09,1.0
2020-01-26 00:00:00,-9.21153717498268e-08,-5.545831984122581e-07,-6.296341454245524e-07,1.8431114666680706e-07,6.560562139558924e-07,6.624915075551901e-07,775151021.1070106,395627.1832585428,2.603715447672614e-09,2.733636144601915e-09,2.7236072764117333e-09,2.7238015165011106e-09,1.0
2020-01-26 01:00:00,-9.437631499019448e-08,-7.933242451830706e-07,-7.782509857624749e-07,1.2372771836639696e-07,7.880248378905442e-07,7.936561182045703e-07,774842329.9726555,395483.3564635603,2.8668351270653774e-09,3.0016184028997488e-09,2.998368551020864e-09,2.998414529735754e-09,1.0
2020-01-26 02:00:00,-3.9949663140704804e-08,-9.969700441000711e-07,-9.478642927075156e-07,2.105210792304685e-07,9.709612979878653e-07,9.717828038071757e-07,774625710.1855562,395365.04920509824,3.339585637041238e-09,3.489959620175244e-09,3.4830360127639626e-09,3.483047725300548e-09,1.0
2020-01-26 03:00:00,-6.495963258117217e-08,-8.342512110969997e-07,-8.248940935882031e-07,2.7217618841346355e-07,8.686369455508927e-07,8.710625104095947e-07,774618174.3290877,395266.93627144815,3.736656264627865e-09,3.906277649501114e-09,3.889951650464552e-09,3.89004263625385e-09,1.0
2020-01-26 04:00:00,-5.304980119211207e-08,-9.385360975287064e-07,-7.688412252718381e-07,9.588757924964848e-10,7.688418232122175e-07,7.706698583224916e-07,774264226.8991759,395125.9604095915,4.064051668241336e-09,4.234802963884224e-09,4.23480270364684e-09,4.2348027048799466e-09,1.0
2020-01-26 05:00:00,-1.8471358260542605e-09,-1.4086295823831864e-06,-1.210563234788494e-06,-2.6447842668873684e-07,1.2391175019364919e-06,1.2391188786860169e-06,774323579.0598352,395090.0569943583,4.403033877506056e-09,4.5597956485545815e-09,4.552771396552365e-09,4.552771412173289e-09,1.0
2020-01-26 06:00:00,-3.851092890993112e-08,-1.6303768109607192e-06,-1.4281141070594613e-06,-3.5649653294734856e-07,1.4719373902397215e-06,1.472441093025873e-06,774253365.8125112,395001.62890149286,4.6868101012269875e-09,4.849627239155176e-09,4.840227821639582e-09,4.84023425761333e-09,1.0
2020-01-26 07:00:00,-2.2001209548153452e-07,-1.698351310903289e-06,-1.407894016988351e-06,-4.5329434834814447e-07,1.4790677230323038e-06,1.4953416504177698e-06,774109834.9512036,394905.695014774,5.110896489760957e-09,5.30072926409039e-09,5.28318933869741e-09,5.283569654775186e-09,1.0
2020-01-26 08:00:00,-4.2989977778158127e-07,-1.0895879808076715e-06,-1.0181983648294547e-06,-1.0693262715291374e-07,1.0237980742759774e-06,1.1103946666964196e-06,773027552.1687031,394583.4951162925,5.815291179638692e-09,6.090134891749398e-09,6.087203524511933e-09,6.087643004209224e-09,1.0
2020-01-26 09:00:00,-4.559386260256763e-07,-3.9198211618009153e-07,-6.49019795788542e-07,2.9970571673239323e-07,7.148777601572721e-07,8.478975425543229e-07,771714802.6377707,394195.1619783615,6.3072924039511006e-09,6.636921617538269e-09,6.580181322715607e-09,6.596638042991489e-09,1.0
2020-01-26 10:00:00,-4.080634906460437e-07,-1.3751314426820903e-07,-6.001673625567763e-07,2.2778611079055674e-07,6.419403207054724e-07,7.606597056145925e-07,770493754.867037,393830.0145832038,6.47253560001375e-09,6.8016391486888826e-09,6.761082841342754e-09,6.772779401859027e-09,1.0
