datetime,divergence,vorticity,pure_shear,normal_shear,maximum_shear_strain_rate,total_deformation,area,uncertainty_area,uncertainty_divergence,uncertainty_vorticity,uncertainty_shear,uncertainty_total,shape_flag
2020-01-25 10:00:00,-1.818069033046384e-09,-1.0755041496460545e-07,-1.2730978299935888e-07,-1.0949217674158673e-07,1.6791759173759823e-07,1.6792743370266706e-07,74948015450.54175,4504207.095025296,9.397316901358019e-11,9.338362947571767e-11,9.363474404076831e-11,9.363471464622882e-11,1.0
2020-01-25 11:00:00,-1.7199839623802847e-08,-9.901028896797889e-08,-1.2359675651673995e-07,-9.788660339852254e-08,1.5766402679862627e-07,1.5859943199596424e-07,74943736042.3745,4502951.138827762,9.337820155977522e-11,9.324179157948697e-11,9.329439603236901e-11,9.329377752193467e-11,1.0
2020-01-25 12:00:00,-1.270227299771503e-08,-1.0657880060085123e-07,-1.2523290254659556e-07,-7.894260795907817e-08,1.480378844472786e-07,1.4858183930391457e-07,74938739266.1166,4501909.973729147,9.320589277933879e-11,9.322652830543711e-11,9.322066073456259e-11,9.322070361935737e-11,1.0
2020-01-25 13:00:00,2.631838780521146e-08,-1.0090349160712092e-07,-1.4644778859014124e-07,-6.248911959806289e-08,1.5922262669320498e-07,1.6138309201322552e-07,74936881489.1138,4501063.343114742,9.32430249894847e-11,9.335263117282546e-11,9.333575715429422e-11,9.33362059608927e-11,1.0
2020-01-25 14:00:00,7.812179940180099e-08,-9.52039317521282e-08,-1.902286338919932e-07,-6.230399149622498e-08,2.0017172754606397e-07,2.1487609464654485e-07,74952938476.51343,4500571.554090621,9.336608562243097e-11,9.3595775529846e-11,9.357354823908532e-11,9.357648656226634e-11,1.0
2020-01-25 15:00:00,1.1893933213488046e-07,-6.19427943397296e-08,-2.5133929191150247e-07,-3.5866348441710473e-08,2.538854753803723e-07,2.8036476122688647e-07,74979035146.93777,4500299.826389597,9.349508803753235e-11,9.381529232199315e-11,9.380891264435885e-11,9.381006083758808e-11,1.0
2020-01-25 16:00:00,1.4032380930843644e-07,-5.381471067460992e-08,-2.870733654174539e-07,-1.5349218218674073e-08,2.8748341801228726e-07,3.1990230866759607e-07,75017139844.83365,4500101.768200606,9.361618835302707e-11,9.401660970199297e-11,9.401547065681512e-11,9.401568982174326e-11,1.0
2020-01-25 17:00:00,1.608271402478747e-07,-9.047307847896134e-08,-2.769930546571538e-07,-2.5450341455806732e-08,2.781597961757201e-07,3.213070824753599e-07,75054828889.25436,4500013.951409014,9.362774992274519e-11,9.400835278093581e-11,9.400517299515105e-11,9.400596967063001e-11,1.0
2020-01-25 18:00:00,1.8834428034582202e-07,-1.2495111607247822e-07,-2.5374676715462743e-07,-2.4777954432991507e-08,2.5495366023516534e-07,3.1697781753033404e-07,75104058737.47586,4500115.97092029,9.365856354183832e-11,9.401579237517613e-11,9.401242464871926e-11,9.401361366820352e-11,1.0
2020-01-25 19:00:00,1.793414549500385e-07,-1.2216232484854658e-07,-2.619086567497332e-07,-7.78098400297657e-09,2.620242129889987e-07,3.1752172469943037e-07,75156680144.93896,4500436.026682723,9.383751964950258e-11,9.418918951545246e-11,9.418887997988905e-11,9.418897872725668e-11,1.0
