datetime,x_stere,y_stere,data_gap_minutes,longitude,latitude,u,v,speed
2020-01-25 00:30:00,12808.019235129992,-279636.57011871535,15.0,92.62245,87.41631,,,
2020-01-25 01:00:00,12785.541791758356,-279672.31662159227,30.0,92.61752,87.41599,-0.012190164270657281,-0.021050504399026976,0.024325374414365414
2020-01-25 01:30:00,12764.134643755626,-279712.35193455184,30.0,92.61277,87.41563,-0.011596986079625317,-0.020720987452643586,0.02374551341082429
2020-01-25 02:00:00,12743.792641871705,-279746.9121764218,30.0,92.60829,87.41532,-0.01081439555644061,-0.01887615642560478,0.02175454970012165
2020-01-25 02:30:00,12725.20281975244,-279780.306097684,30.0,92.60418,87.41502,-0.010586289960034872,-0.020070354453637265,0.02269115825630266
2020-01-25 03:00:00,12705.68199801558,-279819.1654524549,30.0,92.59983,87.41467,-0.010005309985563144,-0.021550019198427132,0.023759409827682747
2020-01-25 03:30:00,12689.183703804412,-279857.88616679836,30.0,92.5961,87.41432,-0.006846843673504534,-0.0205020590822096,0.021615126529812918
2020-01-25 04:00:00,12681.033360790963,-279892.97286515083,30.0,92.59411,87.414,-0.006116751943098583,-0.017454877327820417,0.01849560479850982
2020-01-25 04:30:00,12667.163396809257,-279920.7237251785,30.0,92.59102,87.41375,-0.009457168045162992,-0.01579743369194653,0.018411869505454884
2020-01-25 05:00:00,12646.987555828377,-279949.84362644184,30.0,92.58663,87.41349,-0.010924952473545899,-0.015561739564436721,0.019013740421615938
2020-01-25 05:30:00,12627.833567904492,-279976.7459876105,30.0,92.58247,87.41325,-0.008375085036203826,-0.013939187527705347,0.016261703425415847
2020-01-25 06:00:00,12616.837249698043,-280000.0247015416,30.0,92.58001,87.41304,-0.002864974325843832,-0.012786368291175071,0.013103407647070728
2020-01-25 06:30:00,12617.519660331454,-280022.7769134587,30.0,92.57994,87.41283,-0.0022684859388603703,-0.01336209075244066,0.013553283651250992
2020-01-25 07:00:00,12608.670700318145,-280048.12822825037,30.0,92.5779,87.4126,-0.005392029185633571,-0.015310819201695268,0.016232534101788442
2020-01-25 07:30:00,12598.108355263174,-280077.8958625848,30.0,92.57547,87.41233,-0.004958439453793188,-0.014688394028279516,0.015502743013638918
2020-01-25 08:00:00,12590.82031828449,-280101.0064467522,30.0,92.57377,87.41212,-0.004497309323657343,-0.012256566530882588,0.0130556200265865
2020-01-25 08:30:00,12581.918041698007,-280122.019502096,30.0,92.57176,87.41193,-0.00882989954948698,-0.010039898371340112,0.013370365939676753
2020-01-25 09:00:00,12559.032679906337,-280137.150080889,30.0,92.56695,87.4118,-0.010337434917771336,-0.007093508762045531,0.012537161849333157
2020-01-25 09:30:00,12544.70327599403,-280147.55613363936,30.0,92.56393,87.41171,-0.0047696788114192,-0.006843565284992413,0.00834171575720814
2020-01-25 10:00:00,12541.861836185228,-280161.78691591497,30.0,92.56322,87.41158,-0.0004792624911290962,-0.009966278792093766,0.009977795623139473
2020-01-25 10:30:00,12542.977931025966,-280183.4347372909,30.0,92.56325,87.41138,0.00325438415903995,-0.01492217689133314,0.015272929628294858
2020-01-25 11:00:00,12553.577619157772,-280215.50675272377,30.0,92.56512,87.41108,0.004205848064771595,-0.0142768274062837,0.014883445795001785
2020-01-25 11:30:00,12558.118984059143,-280234.8313159535,30.0,92.56587,87.4109,0.0045744801634959404,-0.011547946053324267,0.012420987352731077
2020-01-25 12:00:00,12570.045747746357,-280257.07935851574,30.0,92.5681,87.41069,0.010172572531153794,-0.01400877873343739,0.017312628728878593
2020-01-25 12:30:00,12594.740245171297,-280285.2629193939,30.0,92.57288,87.41042,0.01588121688348666,-0.01616235239916326,0.022659097174756986
2020-01-25 13:00:00,12627.218128526909,-280315.2638271527,30.0,92.57923,87.41013,0.018847086592244423,-0.015424456231202283,0.024354189024556626
2020-01-25 13:30:00,12662.589756903377,-280340.7909618262,30.0,92.58621,87.40988,0.02038639479425658,-0.011434979945867478,0.023374427459719373
2020-01-25 14:00:00,12700.609149786233,-280356.42975495785,30.0,92.59382,87.40972,0.020375358161195435,-0.008118022311407711,0.021933023194386742
2020-01-25 14:30:00,12735.94104628368,-280370.0158421473,30.0,92.6009,87.40958,0.0213425830165857,-0.00746855586253029,0.022611615963738372
2020-01-25 15:00:00,12777.442448645941,-280383.31655606296,30.0,92.60924,87.40944,0.02323389554822572,-0.00677677180090945,0.024202035831463936
2020-01-25 15:30:00,12819.583070257293,-280394.41222063056,30.0,92.61773,87.40932,0.023533592892015603,-0.00434870181133091,0.023932012072765636
2020-01-25 16:00:00,12862.163383057197,-280398.97188258375,30.0,92.62637,87.40926,0.02535447258619974,-0.0012476692300373948,0.025385152326348887
2020-01-25 16:30:00,12910.859171567612,-280398.9038298587,30.0,92.6363,87.40924,0.02793631628565739,0.0006837287530490559,0.02794468200964241
2020-01-25 17:00:00,12962.734121685564,-280396.5104590728,30.0,92.6469,87.40924,0.02989062546331095,0.003491718305320117,0.030093879565646575
2020-01-25 17:30:00,13018.465423235531,-280386.33364395954,30.0,92.65836,87.40931,0.0312717599599374,0.006876897828187793,0.03201897397999002
2020-01-25 18:00:00,13075.312457541339,-280371.7536268913,30.0,92.67009,87.40942,0.0327300152772639,0.011472336700503042,0.034682393363486864
2020-01-25 18:30:00,13136.293478233682,-280345.03323183773,30.0,92.68278,87.40964,0.03389843824274622,0.016959170339266874,0.03790405748588861
2020-01-25 19:00:00,13197.346835215225,-280310.70061366993,30.0,92.69556,87.40993,0.03457771918790513,0.020314318874055364,0.04010349380732836
2020-01-25 19:30:00,13260.77326731014,-280271.90168389113,30.0,92.70887,87.41026,0.03403864332919511,0.02059801741368978,0.039785770836654986
2020-01-25 20:00:00,13319.885951200327,-280236.54775098065,30.0,92.72127,87.41056,0.03020013582511183,0.01982010610057235,0.03612318936214171
2020-01-25 20:30:00,13369.493756280543,-280200.5493019291,30.0,92.73174,87.41087,0.025599629140046494,0.020209277924037046,0.0326152713666296
2020-01-25 21:00:00,13412.044616104495,-280163.7943504541,30.0,92.74078,87.41119,0.023043833506911447,0.01858433590752409,0.02960398290463538
2020-01-25 21:30:00,13452.451556905424,-280133.645692662,30.0,92.74932,87.41145,0.02241057802358581,0.0149407355565927,0.02693435698737322
2020-01-25 22:00:00,13492.722696989404,-280110.0077024504,30.0,92.75777,87.41165,0.023441829347298153,0.01378838606038092,0.02719630403745987
2020-01-25 22:30:00,13536.842142555697,-280084.0075028446,30.0,92.76703,87.41187,0.02646171463841155,0.0151440442821897,0.03048875889283863
2020-01-25 23:00:00,13587.984869687685,-280055.4891430345,30.0,92.77775,87.41211,0.034916659325987594,0.011340689979600332,0.0367121825515793
2020-01-25 23:30:00,13662.542116129252,-280043.18101891805,30.0,92.79309,87.41219,0.040488426703907156,0.012223239984579979,0.04229326533478228
