datetime,x_stere,y_stere,data_gap_minutes,longitude,latitude,x,y,u,v,speed
2020-01-27 00:00:00,217652.15808,215563.32933,10.0,89.72374,87.1727,217652.38139674647,215563.5510852259,-0.13525230984664327,0.03794666110876278,0.14047468244547018
2020-01-27 01:00:00,217180.17928,215697.13522,10.0,89.8037,87.17493,217179.83649763023,215696.76027204792,-0.12957064015159428,0.03902634529644274,0.1353203843347007
2020-01-27 02:00:00,216719.78638,215844.81579,10.0,89.88411,87.17698,216719.472787655,215844.54077136028,-0.12717281021624433,0.04363318560879836,0.13444991091357683
2020-01-27 03:00:00,216264.43985,216011.15076,10.0,89.96643,87.17887,216264.19226407327,216010.91920843127,-0.13042056151727188,0.0445085897492835,0.1378061588897627
2020-01-27 04:00:00,215780.5331,216165.06153,10.0,90.05101,87.18102,215780.44474473063,216165.00261755512,-0.13312643407151173,0.044401925687965964,0.1403359485427601
2020-01-27 05:00:00,215306.04126,216331.01153,10.0,90.13605,87.18303,215305.68193875838,216330.61307338462,-0.1289804955933424,0.04469192440158723,0.13650397924683882
2020-01-27 06:00:00,214851.91911,216486.91405,10.0,90.21718,87.18496,214851.78517645856,216486.78447324655,-0.11906274171234447,0.042667802040765916,0.12647718290288743
2020-01-27 07:00:00,214448.43618,216637.81551,10.0,90.29099,87.18659,214448.4301984295,216637.82124807814,-0.10551950650475192,0.04239585713797068,0.11371796232552535
2020-01-27 08:00:00,214091.82722,216791.80476,10.0,90.35902,87.18789,214092.04472962435,216792.03464463993,-0.09198028075466734,0.04218074286825059,0.10119084502377129
2020-01-27 09:00:00,213786.45702,216941.79734,10.0,90.41972,87.18889,213786.1721769959,216941.52259672954,-0.06981563837357599,0.03648072973504491,0.0787722476733483
2020-01-27 10:00:00,213589.09437,217054.40805,10.0,90.46104,87.18942,213589.3721333346,217054.69589873226,-0.04824242757461535,0.024458955875642358,0.05408856016588561
2020-01-27 11:00:00,213439.09213,217117.87929,10.0,90.48954,87.18998,213438.82669845867,217117.62707903417,-0.030168242404591487,0.017839916148109803,0.035048330316204516
2020-01-27 12:00:00,213372.18183,217183.18611,10.0,90.50713,87.18998,213372.16078802155,217183.14329499865,-0.0177259072778947,0.017415324115960782,0.024849573495102195
2020-01-27 13:00:00,213311.17841,217242.9605,10.0,90.52321,87.18998,213311.20016605782,217243.01741266908,-0.01535482957374269,0.016765155634489524,0.022734142488498196
2020-01-27 14:00:00,213261.58102,217303.79352,10.0,90.53789,87.1899,213261.6060150906,217303.85241556697,-0.014258166266049052,0.016524032371315923,0.021825190745526045
2020-01-27 15:00:00,213208.52273,217361.94701,10.0,90.55268,87.18986,213208.54136894227,217361.99044574256,-0.015100833747443781,0.017131532685133507,0.022836912926438517
2020-01-27 16:00:00,213152.79671,217427.09985,10.0,90.56875,87.18979,213152.880012109,217427.19945089993,-0.017704493753181953,0.019252750125617443,0.026155639668261246
2020-01-27 17:00:00,213081.06573,217500.6125,10.0,90.58807,87.18977,213081.06901391936,217500.610246647,-0.020736180221764596,0.02031458312771267,0.02902880393406262
2020-01-27 18:00:00,213003.63663,217573.48663,10.0,90.60808,87.18979,213003.5795145123,217573.46444941947,-0.020076562114397043,0.017970653119118652,0.02694462320873928
2020-01-27 19:00:00,212936.65736,217630.15326,10.0,90.62454,87.18985,212936.5177666957,217629.99894910466,-0.016422029048691104,0.011435834415351565,0.02001153034756197
