datetime,x_stere,y_stere,data_gap_minutes,longitude,latitude,u,v,speed
2020-01-25 00:30:00,22236.210310823764,-286341.12849175103,15.0,94.44047,87.3492,,,
2020-01-25 01:00:00,22211.521469008552,-286376.7443069645,30.0,94.43501,87.34889,-0.0131301380742237,-0.019438485010727567,0.023457519590963986
2020-01-25 01:30:00,22188.94181375656,-286411.10703778965,30.0,94.42999,87.34859,-0.012152489852955518,-0.018757511457143765,0.022350106167333218
2020-01-25 02:00:00,22167.772505537912,-286444.2713482102,30.0,94.42527,87.3483,-0.011230035486414635,-0.01717519752246315,0.020520748206675026
2020-01-25 02:30:00,22148.513686005466,-286472.9377488705,30.0,94.421,87.34805,-0.01077454212516184,-0.016233103233050012,0.019483439085072888
2020-01-25 03:00:00,22128.98415388733,-286502.7105198492,30.0,94.41666,87.34779,-0.006952063586597635,-0.01654108092180751,0.017942646019299412
2020-01-25 03:30:00,22123.486257093715,-286532.485640189,30.0,94.41511,87.34752,-0.0021471254559977146,-0.0170755640535693,0.017210027178111643
2020-01-25 04:00:00,22121.254502245738,-286564.18255044206,30.0,94.41418,87.34723,-0.0031483569554913832,-0.015340975310375345,0.01566070480510813
2020-01-25 04:30:00,22112.152172053946,-286587.7131513064,30.0,94.41201,87.34702,-0.0029220952708510595,-0.013209742286223142,0.013529077279709876
2020-01-25 05:00:00,22110.734959270674,-286611.73762267246,30.0,94.41136,87.3468,-0.0016258924108741566,-0.012807678811239183,0.012910467174490755
2020-01-25 05:30:00,22106.2989593748,-286633.82079502684,30.0,94.41014,87.3466,-0.005665608074607209,-0.011005362212696733,0.012378090009678697
2020-01-25 06:00:00,22090.33877020209,-286651.35692663817,30.0,94.4067,87.34645,-0.004035659233458218,-0.011483546545868093,0.01217203297398243
2020-01-25 06:30:00,22091.77058613435,-286675.16156259197,30.0,94.40662,87.34623,-0.0014748717789663916,-0.013701674372197077,0.01378082462576582
2020-01-25 07:00:00,22085.02923179781,-286700.6829543781,30.0,94.40489,87.346,-0.0019295750874112451,-0.016152343986209922,0.016267190177372673
2020-01-25 07:30:00,22084.82411581967,-286733.3100009423,30.0,94.40435,87.3457,-0.003343689036913323,-0.015959157358447554,0.016305672631549584
2020-01-25 08:00:00,22072.99195126492,-286758.1359208685,30.0,94.40162,87.34548,-0.004757180282633474,-0.013048350037618851,0.013888491744811765
2020-01-25 08:30:00,22067.69826680219,-286780.28406107775,30.0,94.40023,87.34528,-0.0046834929021861175,-0.010928737244507323,0.01189001276384131
2020-01-25 09:00:00,22056.13137681705,-286797.4793749487,30.0,94.39767,87.34513,-0.006833514486318867,-0.007168491980329337,0.009903746639871994
2020-01-25 09:30:00,22043.09761465144,-286806.09063220693,30.0,94.39495,87.34506,-0.002755183086089043,-0.006552839468042496,0.00710849765645362
2020-01-25 10:00:00,22046.21271770713,-286821.06959703367,30.0,94.39534,87.34492,0.0032363980389952,-0.010621501782928438,0.01110362879384771
2020-01-25 10:30:00,22054.748647591823,-286844.3280386255,30.0,94.39668,87.3447,0.004277945687081228,-0.015976549930023287,0.01653937625692529
2020-01-25 11:00:00,22061.613322180623,-286878.58517678175,30.0,94.39752,87.34438,0.003282107758962714,-0.014845265075790747,0.015203753698081789
2020-01-25 11:30:00,22066.56423552409,-286897.7709928983,30.0,94.39821,87.3442,0.004590981462560093,-0.012026944938422983,0.01287340340941076
2020-01-25 12:00:00,22078.14085544584,-286921.8821785601,30.0,94.40014,87.34397,0.010025592047109563,-0.013722159459446428,0.01699441543935953
2020-01-25 12:30:00,22102.656366893683,-286947.17076695233,30.0,94.40462,87.34372,0.015902354997618506,-0.015684442766117475,0.02233577039982944
2020-01-25 13:00:00,22135.389333437266,-286978.3461725181,30.0,94.41064,87.34341,0.01861824721080969,-0.015473551827275918,0.02420888133215198
2020-01-25 13:30:00,22169.682056852598,-287002.8755535305,30.0,94.41707,87.34316,0.019632684002829894,-0.011165750503423624,0.022585753595124464
2020-01-25 14:00:00,22206.066995847454,-287018.5428743304,30.0,94.42405,87.34299,0.02033547534956597,-0.008089518458517785,0.021885425894496664
2020-01-25 14:30:00,22242.889768111036,-287031.9978199812,30.0,94.43115,87.34284,0.02187305439174856,-0.007665793355602849,0.02317746526683183
2020-01-25 15:00:00,22284.80999165775,-287046.1397304106,30.0,94.43925,87.34268,0.025841547770363224,-0.007354469652119507,0.02686770952336487
2020-01-25 15:30:00,22335.919340084343,-287058.4739107288,30.0,94.4492,87.34253,0.02892368656909437,-0.0059026644884822115,0.029519842357485566
2020-01-25 16:00:00,22388.93526330649,-287067.3893225691,30.0,94.45958,87.34241,0.0291092170661745,-0.0028633894361296875,0.029249709695458582
2020-01-25 16:30:00,22440.71252152257,-287068.7821126989,30.0,94.46983,87.34236,0.028741000010987693,0.00043485279461795775,0.028744289495212464
2020-01-25 17:00:00,22492.402863346044,-287065.8238525085,30.0,94.48013,87.34235,0.029902840389250843,0.0029471869706564273,0.030047724945243666
2020-01-25 17:30:00,22548.362746923875,-287058.1722396045,30.0,94.49135,87.34238,0.03110369938417029,0.006369120597761745,0.03174910727201111
2020-01-25 18:00:00,22604.376181129057,-287042.89501835656,30.0,94.5027,87.34248,0.03200730226656358,0.011580678783906883,0.034037912971849445
2020-01-25 18:30:00,22663.589035083503,-287016.48179598246,30.0,94.51486,87.34268,0.033110642542482714,0.017412679908690432,0.037410106537920707
2020-01-25 19:00:00,22723.574494281995,-286980.2093706853,30.0,94.52733,87.34297,0.03424525365297086,0.01962417633694713,0.03946955402154818
