datetime,x_stere,y_stere,data_gap_minutes,longitude,latitude,x,y,u,v,speed
2020-01-25 01:00:00,196898.83792,180478.98376,10.0,87.50861,87.5347,196898.8379192109,180478.9837640047,,,
2020-01-25 02:00:00,196975.62538,180499.45977,10.0,87.50072,87.53405,196975.62538033602,180499.45976983293,0.019677468010643982,0.005707784219145348,0.020488571155701463
2020-01-25 03:00:00,197040.51569,180520.07981,9.5,87.49458,87.53348,197040.51568888754,180520.07981038254,0.016492640324799544,0.00717727156605785,0.017986673178110132
2020-01-25 04:00:00,197094.37239,180551.13613,10.0,87.49169,87.53292,197094.37239067457,180551.13612510855,0.01742906684649319,0.00526237238996853,0.018206178465296645
2020-01-25 05:00:00,197166.00497,180557.96889,10.0,87.4824,87.53239,197166.0049701823,180557.9688915903,0.01752537882635402,0.0024818717651618905,0.01770024266686549
2020-01-25 06:00:00,197220.57107,180569.00262,10.5,87.47625,87.53195,197220.55511822432,180569.0056018177,0.013429064460647674,0.0056168372251381195,0.014556394907460008
2020-01-25 07:00:00,197262.69423,180598.41012,10.0,87.4748,87.53148,197262.69423429895,180598.4101196113,0.012645968867743957,0.008254940636579704,0.015101806961996445
2020-01-25 08:00:00,197311.60609,180628.44117,10.0,87.47247,87.53096,197311.60609407208,180628.4411744011,0.013566458317412374,0.0047969367358948346,0.01438955848267294
2020-01-25 09:00:00,197360.37273,180632.94806,10.0,87.46613,87.5306,197360.37273418432,180632.94806410975,0.010932809440989028,0.0016546079918650018,0.011057307533017357
2020-01-25 10:00:00,197390.32232,180640.35435,10.0,87.46297,87.53035,197390.3223220472,180640.35435194251,0.0074206115439705575,0.007275350740472075,0.010392122212685755
2020-01-25 11:00:00,197413.80114,180685.33059,10.0,87.46668,87.52991,197413.8011373009,180685.33058944115,0.0054024076045890174,0.012824418150473017,0.013915879735909728
2020-01-25 12:00:00,197429.36427,180732.79117,10.5,87.47193,87.52951,197429.21965680024,180732.69016262592,0.0007669169537782889,0.01833171248496203,0.018347747661369918
2020-01-25 13:00:00,197419.32294,180817.31892,10.0,87.48672,87.52905,197419.3229393681,180817.31891933287,-0.0044193689065489,0.024658559472542644,0.025051454584376808
2020-01-25 14:00:00,197397.4002,180910.23179,10.0,87.50455,87.52862,197397.4002006731,180910.23179082823,-0.007770356326238672,0.023850541602765184,0.025084393000069788
2020-01-25 15:00:00,197363.37637,180989.04282,10.0,87.5219,87.52836,197363.3763738192,180989.04281887278,-0.011615912880414624,0.02068403015728917,0.023722532233997073
2020-01-25 16:00:00,197313.76563,181059.15681,10.0,87.54013,87.52826,197313.7656279341,181059.1568079607,-0.017294622639177155,0.019291356590854573,0.025908693740654836
2020-01-25 17:00:00,197238.85509,181127.94059,10.0,87.56181,87.52834,197238.85509081712,181127.94058632693,-0.023924328979515446,0.0180401793736059,0.0299636711527803
2020-01-25 18:00:00,197141.2866,181188.82998,10.5,87.58553,87.52862,197141.5104592816,181189.04609945067,-0.03236462180416614,0.014081522827954258,0.03529529755761953
2020-01-25 19:00:00,197005.82981,181229.32755,10.0,87.61153,87.52929,197005.82981382712,181229.3275506882,-0.03900761421274688,0.010165603509934347,0.04031046342194148
2020-01-25 20:00:00,196860.65564,181262.23844,10.0,87.63776,87.53007,196860.6556369498,181262.2384447222,-0.03610806533718359,0.006329924122284057,0.036658700492355055
2020-01-25 21:00:00,196745.85174,181274.903,10.5,87.65641,87.53077,196745.8517433994,181274.90300436865,-0.029180696877394642,0.004348553168735331,0.02950293180197025
2020-01-25 22:00:00,196650.55462,181293.54803,10.0,87.67318,87.5313,196650.55461943257,181293.5480275371,-0.027664606415653704,0.006911884904503596,0.028514989059547833
2020-01-25 23:00:00,196546.66658,181324.66858,10.0,87.69317,87.53181,196546.6665772067,181324.66857568108,-0.0356480874377222,0.015325614779782578,0.038802842761140294
2020-01-26 00:00:00,196394.09722,181404.07138,10.5,87.72785,87.53235,196393.88838988097,181403.89245395153,-0.04560699402545045,0.020757266439884712,0.050108502413201673
2020-01-26 01:00:00,196218.29622,181474.12089,10.0,87.76445,87.5331,196218.29622022345,181474.12089404825,-0.05290235222810831,0.023055203903010503,0.057707896325167034
2020-01-26 02:00:00,196012.99145,181569.88992,10.0,87.80942,87.53389,196012.9914538386,181569.8899220532,-0.060271032817836384,0.029177611005313034,0.0669621563340524
