datetime,x_stere,y_stere,data_gap_minutes,longitude,latitude,x,y,u,v,speed
2020-01-25 18:00:00,178944.80876,227661.72844,60.0,96.83223,87.32736,178944.6789115826,227661.52505649425,-0.030561704385343343,0.014830814764411318,0.03397014632752404
2020-01-25 19:00:00,178821.18676,227704.20218,60.0,96.85666,87.32775,178821.48434803067,227704.55971739072,-0.03575685964431614,0.0110453447417846,0.03742395826323283
2020-01-25 20:00:00,178687.37827,227741.21263,60.0,96.88202,87.32825,178687.22952214352,227741.0515386351,-0.034792750890903536,0.006253665245013609,0.03535030188772311
2020-01-25 21:00:00,178571.22918,227749.92647,60.0,96.90117,87.32885,178570.97654161617,227749.5861071548,-0.03012344882817059,0.004299003806845576,0.030428664167765976
2020-01-25 22:00:00,178470.1479,227771.73787,60.0,96.91959,87.32926,178470.3406905807,227772.0043660444,-0.02780670937292194,0.007444699377871681,0.028786049311724383
2020-01-25 23:00:00,178370.4883,227802.85278,60.0,96.93892,87.3296,178370.76823413113,227803.1879426755,-0.028758514204847516,0.016014842023465058,0.03291697592894825
2020-01-26 00:00:00,178263.1156,227887.07352,60.0,96.96595,87.3296,178263.2793883058,227887.31122861334,-0.03193645018687271,0.020013255712062042,0.03768908667950161
2020-01-26 01:00:00,178140.84359,227947.34078,60.0,96.99237,87.32986,178140.82579278565,227947.28338380234,-0.038066475471718556,0.01790134953168389,0.04206560197946143
2020-01-26 02:00:00,177989.48915,228016.54181,60.0,97.02444,87.33022,177989.20076490942,228016.20094524146,-0.04719093099827862,0.017929126517693576,0.050482051723080325
2020-01-26 03:00:00,177801.05836,228076.39313,60.0,97.06116,87.33085,177801.05108959804,228076.37309472973,-0.05517575316736232,0.018578901494119136,0.05821975024262707
2020-01-26 04:00:00,177591.63914,228149.57826,60.0,97.10281,87.3315,177591.9353421044,228149.96903599912,-0.0639000275042094,0.01883282581447727,0.06661748151346732
2020-01-26 05:00:00,177340.73369,228211.66246,60.0,97.14962,87.33247,177340.97089156773,228211.96944059397,-0.0724827311038502,0.01705130669530465,0.07446135486472426
2020-01-26 06:00:00,177069.80553,228272.37973,60.0,97.19944,87.33356,177070.0596781567,228272.73844420532,-0.07698271427658862,0.0166580295433798,0.07876438437300831
2020-01-26 07:00:00,176786.61569,228331.82074,60.0,97.25106,87.33473,176786.6953487763,228331.9072533063,-0.08283247529654343,0.01710531023535926,0.08458020218703881
2020-01-26 08:00:00,176473.3792,228395.56619,60.0,97.30797,87.33603,176473.66585602157,228395.8966778999,-0.08726170838414368,0.024996042076106985,0.0907711841367614
