datetime,x_stere,y_stere,data_gap_minutes,longitude,latitude,u,v,speed
2020-01-25 00:00:00,13460.283463121734,-408682.544133891,30.0,91.8864,86.2266,,,
2020-01-25 00:30:00,13412.84776753433,-408707.97338192706,30.0,91.87964,86.22638,-0.0259396472032323,-0.01893439502563625,0.032115052732558234
2020-01-25 01:00:00,13366.900733190098,-408750.7079559833,30.0,91.87301,86.226,-0.025013927954083658,-0.024928749574852797,0.035314857313286874
2020-01-25 01:30:00,13322.797626899628,-408797.71688039653,60.0,91.86662,86.22558,-0.023830143561908698,-0.02488731772145709,0.03445655707626533
2020-01-25 02:00:00,13281.112216367226,-408840.30229978054,60.0,91.86059,86.2252,-0.022544877302543682,-0.02062362972050323,0.030554960242735935
2020-01-25 02:30:00,13241.63606861047,-408871.96194739034,60.0,91.85492,86.22492,-0.021993137970184762,-0.018795100481010095,0.02893015589081484
2020-01-25 03:00:00,13201.936919674561,-408907.9646615122,60.0,91.8492,86.2246,-0.0228440097082532,-0.0251492067197978,0.0339754525825027
2020-01-25 03:30:00,13159.39763366076,-408962.4990915816,60.0,91.843,86.22411,-0.02478682101497169,-0.0309353322721371,0.03964065184650436
2020-01-25 04:00:00,13112.704364020663,-409019.33185769187,60.0,91.83621,86.2236,-0.02731760430663093,-0.026492734041174925,0.0380541254272134
2020-01-25 04:30:00,13061.054258156888,-409057.87293412985,60.0,91.82881,86.22326,-0.029606792759318525,-0.019027818707351495,0.035194034469680675
2020-01-25 05:00:00,13006.119910087116,-409087.83200503833,60.0,91.82099,86.223,-0.03091875319898817,-0.01725721029538868,0.035408764544378135
2020-01-25 05:30:00,12949.74674664053,-409119.99889119325,60.0,91.81296,86.22272,-0.031144052196631897,-0.019068255636407735,0.036517808809427864
2020-01-25 06:00:00,12894.001322179241,-409156.4777253294,60.0,91.805,86.2224,-0.03036783165592523,-0.020546312452950386,0.036665462698524325
2020-01-25 06:30:00,12840.4225526792,-409193.96561602387,60.0,91.79734,86.22207,-0.02917043504317462,-0.01899774197598971,0.03481132690367248
2020-01-25 07:00:00,12788.987756023813,-409224.86959644296,60.0,91.79001,86.2218,-0.0281339346630941,-0.013536860862643354,0.031221224858128373
2020-01-25 07:30:00,12739.140387892061,-409242.6983151294,60.0,91.78296,86.22165,-0.027231950402346126,-0.006875144156882824,0.02808641539772848
2020-01-25 08:00:00,12690.952734575367,-409249.62011540774,60.0,91.77619,86.2216,-0.02613392976977391,-0.002618707796144817,0.02626480374442316
2020-01-25 08:30:00,12645.058240720875,-409252.1256631955,60.0,91.76976,86.22159,-0.02418623602969193,-0.000747447045545818,0.02419778275730781
2020-01-25 09:00:00,12603.882284868476,-409252.3109247717,60.0,91.764,86.2216,-0.020882146867354803,-0.0003419306858591477,0.02088494611876478
2020-01-25 09:30:00,12569.882511998398,-409253.3566136646,60.0,91.75924,86.2216,-0.016666571592446517,-0.0005120631810051337,0.01667443604286173
2020-01-25 10:00:00,12543.882627135668,-409254.1543522233,60.0,91.7556,86.2216,-0.012411374049716465,-0.0006818914829636924,0.012430091785522492
2020-01-25 10:30:00,12525.201565419418,-409255.81142300327,60.0,91.75298,86.22159,-0.009920613909082224,-0.0003036394273415984,0.00992525955503996
2020-01-25 11:00:00,12508.168417062972,-409255.24745416176,60.0,91.7506,86.2216,-0.01005661287831774,0.0008981188021263936,0.010096637062263809
