datetime,x_stere,y_stere,data_gap_minutes,longitude,latitude,u,v,speed
2020-01-25 00:00:00,28400.542797474725,-233462.83872167562,30.0,96.9359,87.8292,,,
2020-01-25 01:00:00,28372.61094629539,-233542.64807950507,60.0,96.9268,87.8285,-0.007252584186825415,-0.0221070113215319,0.02326628304988422
2020-01-25 02:00:00,28348.324191329582,-233622.00920319065,60.0,96.9186,87.8278,-0.005582138137303648,-0.01887079475993232,0.019679104681245764
2020-01-25 03:00:00,28332.419551706804,-233678.5178017766,60.0,96.9131,87.8273,-0.0027763207581902962,-0.015497608058920176,0.01574432635904966
2020-01-25 04:00:00,28328.334681870612,-233733.59198121488,60.0,96.9105,87.8268,-0.0003986374164565455,-0.015209133453722138,0.015214356779138875
2020-01-25 05:00:00,28329.549362308317,-233788.0235626434,60.0,96.9092,87.8263,-1.3996801970582358e-05,-0.013646370268369436,0.013646377446483835
2020-01-25 06:00:00,28328.233904896424,-233831.84584714714,60.0,96.9076,87.8259,0.0007223579287968581,-0.013557135270505873,0.013576366145625641
2020-01-25 07:00:00,28334.750339395654,-233885.63493659103,60.0,96.9076,87.8254,0.0011404647381575868,-0.01653860203287574,0.016577877337609372
2020-01-25 08:00:00,28336.44525101116,-233950.92378178384,60.0,96.9061,87.8248,0.000459576490264529,-0.01662106753829802,0.016627420024257163
2020-01-25 09:00:00,28338.05929012556,-234005.30662286677,60.0,96.9049,87.8243,0.0016747127680410913,-0.011925686952308752,0.012042702028195627
2020-01-25 10:00:00,28348.503182941055,-234036.78872784047,60.0,96.9065,87.824,0.005533168134713075,-0.011458174815945514,0.01272421784314353
2020-01-25 11:00:00,28377.898100695493,-234087.80548154158,60.0,96.9121,87.8235,0.012264327420180557,-0.01518954451863667,0.019522704468209265
2020-01-25 12:00:00,28436.806340366355,-234146.15344837465,60.0,96.9246,87.8229,0.020397959898730025,-0.015715060680409402,0.025749561165564507
2020-01-25 13:00:00,28524.76341196635,-234200.95391844053,60.0,96.9442,87.8223,0.02483568551479948,-0.015169247125078174,0.029101844156886575
2020-01-25 14:00:00,28615.62327607291,-234255.3720276752,60.0,96.9645,87.8217,0.02726395183130535,-0.011831162383888214,0.02972035452032276
2020-01-25 15:00:00,28721.063865151747,-234286.13828760452,60.0,96.989,87.8213,0.02973443060408196,-0.006968933613421137,0.030540176801342144
2020-01-25 16:00:00,28829.7111764223,-234305.54834969185,60.0,97.0146,87.821,0.030098058048968396,-0.00236218117246608,0.030190611093693094
2020-01-25 17:00:00,28937.76988310432,-234303.14599204628,60.0,97.0407,87.8209,0.030839113568508766,0.003809379537435436,0.03107349832496517
2020-01-25 18:00:00,29051.752794115564,-234278.1208170223,60.0,97.0689,87.821,0.03405398556737257,0.011807469027226035,0.03604289469301434
2020-01-25 19:00:00,29182.958579189402,-234218.13221505025,60.0,97.1023,87.8214,0.037896753148335544,0.018373201521511267,0.042115774162847154
2020-01-25 20:00:00,29324.60941678358,-234145.83376606743,60.0,97.1386,87.8219,0.0395243395514414,0.01860148747241409,0.04368281988567145
2020-01-25 21:00:00,29467.53382395978,-234084.20150524887,60.0,97.1749,87.8223,0.04275534178494127,0.017519912311880843,0.046205698550753876
2020-01-25 22:00:00,29632.447877635157,-234019.6903974219,60.0,97.2166,87.8227,0.04772679688501638,0.01818150859173329,0.05107263842386529
2020-01-25 23:00:00,29811.1667615319,-233953.2946433884,60.0,97.2617,87.8231,0.053827618340017376,0.019000430214473455,0.05708264924207399
2020-01-26 00:00:00,30020.006729683282,-233882.88729987768,60.0,97.3142,87.8235,0.05791703040841639,0.021090762126590966,0.061637672396107505
2020-01-26 01:00:00,30228.169380472496,-233801.44115607694,60.0,97.3669,87.824,0.0653973696302814,0.02363915700127109,0.06953866333407908
2020-01-26 02:00:00,30490.86779102131,-233712.68536946853,60.0,97.433,87.8245,0.07685966885744872,0.028246527555283035,0.08188574366645293
2020-01-26 03:00:00,30781.558996246127,-233598.0661576789,60.0,97.5067,87.8252,0.08314730961961332,0.03221277864497097,0.08916915500894769
2020-01-26 04:00:00,31089.528420282524,-233480.75336322474,60.0,97.5847,87.8259,0.09090992695592123,0.034888751528265455,0.09737473903601476
2020-01-26 05:00:00,31436.11047032876,-233346.8671466754,60.0,97.6726,87.8267,0.10269308051410866,0.03966298691992253,0.11008642657878921
2020-01-26 06:00:00,31828.918599984107,-233195.1798574013,60.0,97.7723,87.8276,0.11080449623510959,0.04246922604983411,0.11866453365343971
2020-01-26 07:00:00,32233.90284322155,-233041.08871911658,60.0,97.8751,87.8285,0.12005412355091317,0.04396961204180116,0.12785272529236297
2020-01-26 08:00:00,32693.30828955068,-232878.59865070033,60.0,97.9914,87.8294,0.12959680361314288,0.048595445892687064,0.13840826878569285
2020-01-26 09:00:00,33166.99982923618,-232691.20150868924,60.0,98.1121,87.8305,0.13329500791922227,0.05244933221838437,0.14324277149769193
2020-01-26 10:00:00,33653.03234656908,-232500.96345872796,60.0,98.236,87.8316,0.13502893977576505,0.05300119529847709,0.1450584064438683
2020-01-26 11:00:00,34139.208195621686,-232309.5929025402,60.0,98.3601,87.8327,0.13742553397918528,0.05062448814168521,0.14645346082995728
2020-01-26 12:00:00,34642.496191219216,-232136.46714410782,60.0,98.4878,87.8336,0.1415179297786694,0.0485144021502371,0.14960271275894477
2020-01-26 13:00:00,35158.137290028106,-231960.2892070585,60.0,98.6187,87.8345,0.14427491398088327,0.04774802507494719,0.1519708021389275
